Nom du produit,Marque,RAM,Capacité (mémoire),Couleur(s),Référence,Modèle de téléphone,Prix,Site web,Catégorie
HUAWEI P30 Pro 128 Go Nacré,HUAWEI,8 Go,128 Go,Nacré,51095RJL,,"150,86",cdiscount.com,SMARTPHONE
Smartphone Google Pixel 8 128Go Noir Volcanique 5G,GOOGLE,,128 Go,Noir,,,"376,94",cdiscount.com,SMARTPHONE
XIAOMI 12 256Go 5G Gris,XIAOMI,,256 Go,Gris,XIAOMI128256G,XIAOMI 12,"287,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S9+   64 Go Ultra-violet,SAMSUNG,6 Go - LPDDR4 SDRAM,,,SM-G965FZPDXEF,,"159,15",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A34 5G Graphite 128 Go,SAMSUNG,6 Go,128 Go,Noir,SM-A346BZKAEUB,A34 5G,"216,9",cdiscount.com,SMARTPHONE
"POCO X7 5G 12GB RAM 512GB ROM AMOLED 6,67"" Dimensity 7300-Ultra 50 MP Caméra 5110 mAh Vert",XIAOMI,,,,,,299,cdiscount.com,SMARTPHONE
Smartphone - REDMAGIC - 10 Pro - 12 Go RAM - 256 Go ROM - Snapdragon 8 Elite - 5G,,,,,NX789J,,689,cdiscount.com,SMARTPHONE
HOTWAV Cyber 13 Pro Smartphone Robuste 20Go+256Go 10800mAh Caméra 64MP 6.6'' FHD+ 4G Télécommande Infrarouge NFC/Face ID - Orange,HOTWAV,20Go (12Go + jusqu'à 8Go d'extension),Neuf,Orange,,HOTWAV Cyber 13 Pro,"169,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"DOOGEE S200 telephone portable 5G Caméra 100MP Murphy, Smartphone Robuste D7050 Android 14 12Go + 256Go 6,8"" FHD 10100mAh/33W -",DOOGEE,32Go (12Go + jusqu'à 20go RAM étendue),32 Go (12 Go + jusqu'à 20 Go de RAM étendue) + 256 Go de ROM,,,S200,"309,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy Z Flip5 512Go Graphite,SAMSUNG,RAM : 8Go LPDDR5X,512 Go,Graphite,SM-F731BZAHEUB,Z Flip5,"561,87",cdiscount.com,SMARTPHONE
Samsung Galaxy A15 5G Smartphone 128 Go Bleu nuit,SAMSUNG,4 Go,128 Go,Bleu nuit,SM-A156BZKDEUB,Samsung Galaxy A15 5G,"153,81",cdiscount.com,SMARTPHONE
"Oukitel WP50 5G Smartphone Robuste 16Go (4+12) RAM /256Go ROM 6.6"" HD+ 6500 mAh 48MP Android 14 NFC GPS Double SIM - Noir",OUKITEL,4 Go + 12 Go de extension,(4+12) Go + 256 Go,Noir,,,"209,99",cdiscount.com,SMARTPHONE
APPLE iPhone 14 Pro Max 256GB Deep Purple - Reconditionné - Excellent état,APPLE,,256 Go,Deep purple,MQ9X3ZD/A,,"765,9",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Honor Magic7 Lite 5G Violet - Smartphone 5G-LTE Dual SIM IP54 - Snapdragon 6 Gen 1 8-Core 2.2 GHz - RAM 8 Go - Ecran tactile AMOLED,HONOR,,,,,,"301,98",cdiscount.com,SMARTPHONE
"Blackview Shark 8 Smartphone 6.78"" 2.4K Écran 16Go + 256Go Caméra 64MP G99 Android 13 Telephone Double SIM 4G 5000mAh NFC GPS -",BLACKVIEW,8 Go RAM + jusqu'à 8Go d'extension,16 Go + 256 Go,Bleu,,Shark 8,"146,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Samsung Galaxy S20 Ultra 5G 128 Go Noir,SAMSUNG,12 Go,,Noir,,,"225,91",cdiscount.com,SMARTPHONE
XIAOMI Smartphone 14 Ultra 16/512Go Noir,XIAOMI,,,,,,"979,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S23 128Go Noir,SAMSUNG,8Go,128Go,Noir,SM-S911BZKDEUB,Samsung Galaxy S23,"399,66",cdiscount.com,SMARTPHONE
APPLE iPhone 15 128GB Black (2023) - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MTP03ZD/A,Iphone 15,"586,88",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"Vivo Y79A Smartphone 5.99"" 4Go + 64Go 3225mAh Double SIM",VIVO,4 Go,64 Go,Noir,,Vivo Y79A,"69,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Smartphone Google Pixel 8a 5G Double Sim 128Go Obsidian Noir,GOOGLE,,,,,,"357,92",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
POCO X7 Pro Jaune 8 GO + 256 GO,,,,,,,319,cdiscount.com,SMARTPHONE
POCO X7 Pro Noir 12 GO + 256 GO,,,12GO+256GO,,,,349,cdiscount.com,SMARTPHONE
SAMSUNG GALAXY S22 Ultra 128Go 5G Noir,SAMSUNG,RAM : 8/12Go LPDDR5,128 Go,Noir,908B128N2,Android,454,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S23+ 256Go Lavande,SAMSUNG,8Go,256Go,Lavande,SM-S916BLIDEUB,Samsung Galaxy S23,"465,93",cdiscount.com,SMARTPHONE
Telephone portable DOOGEE S41MAX 5.5 pouces 6300mAh Robuste Smartphone 16+256Go Android-NFC-déblocage du visage-13+8MP - Vert,DOOGEE,16Go (6Go + jusqu'à 10go RAM étendue),16 Go + 256 Go,Vert,,S41MAX,"159,99",cdiscount.com,SMARTPHONE
"BAZARLAND30.Xiaomi POCO M5s Smartphone 6GB/128GB 6,43"" Display 5000mAh 33W Fast Charging.",,,,noir,,,269,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
POCO X7 Pro Vert 12 GO + 256 GO,,,,,,,349,cdiscount.com,SMARTPHONE
XIAOMI Mi 10T Pro 5G 256Go Gris,XIAOMI,8 Go - LPDDR5 SDRAM,256 Go,Gris,MI10TPRO256G,,"208,99",cdiscount.com,SMARTPHONE
POCO X7 Argent 8 GO + 256 GO,,,,,,,249,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A50 - Double sim 128 Go Noir,SAMSUNG,,,,SM-A505FZKSXEF,,"126,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Smartphone Google Pixel 7a 128Go Noir Charbon 5G,GOOGLE,8 Go,128 GB,Carbon,GA03694-GB,Google Pixel 7A,"251,22",cdiscount.com,SMARTPHONE
"Smartphone GOOGLE Pixel 7 Pro - 128 Go - Gris - Double SIM - Android - 6,7 po - 12 Go RAM",GOOGLE,12 Go de RAM LPDDR5,128 Go,Gris,GA03464-GB,Google Pixel 7 Pro,"328,17",cdiscount.com,SMARTPHONE
Smartphone Nothing PHONE (2a) Blanc 12Go +256Go,NOTHING,,,,,,"315,9",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Honor Magic7 Lite 5G Violet - Smartphone 5G-LTE Dual SIM IP54 - Snapdragon 6 Gen 1 8-Core 2.2 GHz - RAM 8 Go - Ecran tactile AMOLED,HONOR,,,,,,"301,98",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Xiaomi 14T 12Go + 512Go Smartphone 5G Double nano SIM Gris Titane,XIAOMI,,,,,,"479,99",cdiscount.com,SMARTPHONE
